"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
2005,4,14,4,1825,1830,2115,2121,"DL",2049,"N6706Q",170,171,148,-6,-5,"MCO","BOS",1121,9,13,0,"",0,0,0,0,0,0
2005,3,31,4,641,645,945,951,"DL",694,"N902DA",124,126,102,-6,-4,"DFW","CVG",812,7,15,0,"",0,0,0,0,0,0
2006,5,17,3,730,730,928,925,"WN",2039,"N525",118,115,105,3,0,"JAN","MDW",666,8,5,0,"",0,0,0,0,0,0
2006,10,10,2,1851,1850,2054,2023,"DL",1030,"N994DL",123,93,81,31,1,"IND","ATL",432,9,33,0,"",0,0,0,31,0,0
2005,8,29,1,NA,2240,NA,2240,"EV",4247,"N906EV",NA,60,NA,NA,NA,"ATL","BNA",214,0,0,1,"B",0,0,0,0,0,0
2005,8,6,6,1501,1500,1624,1619,"DH",1088,"N622BR",83,79,54,5,1,"IAD","JFK",228,5,23,0,"",0,0,0,0,0,0
2006,3,25,6,608,614,701,700,"OO",6866,"N719SK",53,46,25,1,-6,"MKE","ORD",67,7,21,0,"",0,0,0,0,0,0
2005,1,27,4,647,640,1015,1006,"AS",538,"N962AS",148,146,130,9,7,"PDX","DEN",992,8,10,0,"",0,0,0,0,0,0
2006,1,22,7,1820,1740,1923,1840,"WN",51,"N322",63,60,51,43,40,"MAF","DAL",319,3,9,0,"",0,0,0,3,0,40
2006,5,21,7,2045,2030,2147,2140,"WN",1243,"N779",62,70,55,7,15,"SNA","SJC",342,2,5,0,"",0,0,0,0,0,0
2006,11,21,2,722,730,859,910,"DL",1148,"N910DN",97,100,75,-11,-8,"PHX","SLC",507,5,17,0,"",0,0,0,0,0,0
2005,4,3,7,1239,1225,1440,1440,"XE",2845,"N17513",121,135,110,0,14,"IAH","DSM",802,3,8,0,"",0,0,0,0,0,0
2005,11,22,2,1127,1134,1247,1258,"UA",781,"N933UA",140,144,128,-11,-7,"IAH","DEN",861,4,8,0,"",0,0,0,0,0,0
2005,3,1,2,831,820,926,925,"WN",251,"N606SW",115,125,90,1,11,"BWI","BNA",588,3,22,0,"",0,0,0,0,0,0
2006,12,14,4,726,730,1612,1540,"AA",34,"N339AA",346,310,301,32,-4,"LAX","JFK",2475,16,29,0,"",0,0,0,32,0,0
2005,4,20,3,1126,1110,1402,1345,"B6",678,"N607JB",156,155,140,17,16,"PBI","JFK",1028,6,10,0,"",0,16,0,1,0,0
2005,3,19,6,1345,1345,1526,1510,"MQ",4508,"N804AE",101,85,65,16,0,"BOS","EWR",200,9,27,0,"",0,0,0,16,0,0
2005,4,2,6,2008,1955,2103,2058,"AA",1362,"N5FLAA",55,63,41,5,13,"DFW","TUL",237,3,11,0,"",0,0,0,0,0,0
2006,11,10,5,5,2335,738,714,"UA",262,"N845UA",273,279,253,24,30,"SEA","IAD",2306,5,15,0,"",0,5,0,0,0,19
2006,2,3,5,900,900,1055,1105,"WN",2920,"N710SW",55,65,40,-10,0,"LAS","PHX",256,5,10,0,"",0,0,0,0,0,0
2006,4,26,3,1132,1115,1242,1225,"B6",27,"N508JB",70,70,50,17,17,"ROC","JFK",264,9,11,0,"",0,2,0,0,0,15
2006,6,18,7,729,733,955,959,"AA",1368,"N5FLAA",146,146,125,-4,-4,"MCO","LGA",950,4,17,0,"",0,0,0,0,0,0
2006,11,21,2,1710,1700,1830,1801,"FL",544,"N990AT",80,61,50,29,10,"ATL","SAV",215,6,24,0,"",0,0,0,19,0,10
2006,11,18,6,1048,1050,1511,1526,"CO",749,"N17619",203,216,176,-15,-2,"IAH","JFK",1417,13,14,0,"",0,0,0,0,0,0
2006,4,25,2,1700,1700,2230,2230,"WN",1988,"N768",210,210,185,0,0,"LAS","MDW",1521,5,20,0,"",0,0,0,0,0,0
2005,12,19,1,1449,1453,1622,1628,"MQ",4675,"N826AE",93,95,79,-6,-4,"RDU","BDL",532,4,10,0,"",0,0,0,0,0,0
2006,11,24,5,1806,1810,2044,2100,"WN",2044,"N473",98,110,87,-16,-4,"ABQ","MCI",718,4,7,0,"",0,0,0,0,0,0
2006,10,14,6,622,625,724,706,"OO",5719,"N565SW",62,41,33,18,-3,"RDM","PDX",116,5,24,0,"",0,18,0,0,0,0
2006,6,4,7,2255,2258,10,19,"YV",6457,"N939LR",75,81,58,-9,-3,"LAS","TUS",365,4,13,0,"",0,0,0,0,0,0
2006,10,30,1,1615,1615,13,25,"AA",180,"N332AA",298,310,275,-12,0,"LAX","JFK",2475,9,14,0,"",0,0,0,0,0,0
2006,12,30,6,743,740,845,820,"NW",617,"N760NW",122,100,85,25,3,"MBS","MSP",463,17,20,0,"",0,0,0,25,0,0
2005,5,29,7,908,910,1227,1229,"AA",524,"N574AA",139,139,124,-2,-2,"DFW","TPA",929,5,10,0,"",0,0,0,0,0,0
2005,6,7,2,1747,1735,2116,2043,"XE",2455,"N14923",149,128,106,33,12,"MKE","EWR",725,8,35,0,"",0,0,0,33,0,0
2006,5,9,2,854,901,1055,1105,"NW",476,"N9338",121,124,95,-10,-7,"ATL","DTW",594,10,16,0,"",0,0,0,0,0,0
2006,10,30,1,705,700,816,831,"YV",7371,"N75984",71,91,49,-15,5,"LGA","IAD",229,4,18,0,"",0,0,0,0,0,0
2005,1,9,7,1023,1023,1111,1111,"OH",4941,"N927CA",48,48,41,0,0,"IND","CVG",98,4,3,0,"",0,0,0,0,0,0
2005,3,22,2,1643,1645,2000,1939,"CO",333,"N14735",257,234,217,21,-2,"LGA","IAH",1416,10,30,0,"",0,0,0,21,0,0
2005,6,19,7,1635,1610,1715,1710,"WN",1248,"N430",100,120,90,5,25,"BWI","MDW",611,5,5,0,"",0,0,0,0,0,0
2006,1,24,2,641,650,844,803,"XE",2924,"N13964",123,73,59,41,-9,"BRO","IAH",308,9,55,0,"",0,0,0,41,0,0
2006,2,7,2,815,815,940,940,"WN",1001,"N612SW",85,85,75,0,0,"MHT","BWI",377,5,5,0,"",0,0,0,0,0,0
2005,5,4,3,627,635,820,835,"XE",2535,"N12122",113,120,86,-15,-8,"SDF","EWR",642,7,20,0,"",0,0,0,0,0,0
2005,5,17,2,1413,1415,1512,1515,"AA",2009,"N3BSAA",119,120,107,-3,-2,"MIA","MSY",674,3,9,0,"",0,0,0,0,0,0
2006,9,28,4,1350,1340,1913,1905,"AA",1058,"N459AA",203,205,183,8,10,"SJC","DFW",1438,7,13,0,"",0,0,0,0,0,0
2005,4,25,1,1428,1430,1542,1535,"DL",1923,"N223DZ",74,65,44,7,-2,"BOS","LGA",185,3,27,0,"",0,0,0,0,0,0
2006,4,14,5,823,804,1043,1034,"MQ",4019,"N822AE",80,90,62,9,19,"ORD","BUF",473,3,15,0,"",0,0,0,0,0,0
2006,5,19,5,2219,2055,30,2327,"AS",241,"N763AS",131,152,115,63,84,"LAX","GEG",945,5,11,0,"",0,0,0,0,0,63
2005,4,29,5,938,937,1143,1150,"AS",498,"N645AS",125,133,112,-7,1,"PDX","LAX",834,6,7,0,"",0,0,0,0,0,0
2006,3,29,3,1232,1215,1408,1407,"EV",4591,"N900EV",96,112,76,1,17,"CAK","ATL",528,9,11,0,"",0,0,0,0,0,0
2006,1,17,2,1643,1650,1851,1840,"NW",951,"N677MC",128,110,106,11,-7,"MKE","MEM",556,9,13,0,"",0,0,0,0,0,0
2005,6,17,5,2145,2145,2347,2341,"OH",4947,"N967CA",122,116,90,6,0,"CVG","JFK",589,9,23,0,"",0,0,0,0,0,0
2006,9,23,6,1613,1605,1733,1625,"UA",293,"N466UA",140,80,55,68,8,"DAY","ORD",240,5,80,0,"",0,0,0,68,0,0
2006,9,15,5,1145,1140,1305,1310,"AA",2043,"N465AA",80,90,63,-5,5,"DFW","MFE",468,3,14,0,"",0,0,0,0,0,0
2006,11,26,7,1054,1100,1127,1129,"AQ",110,"N836AL",33,29,20,-2,-6,"LIH","HNL",102,4,9,0,"",0,0,0,0,0,0
2005,12,28,3,1227,1205,1803,1734,"NW",1030,"N348NB",216,209,180,29,22,"ONT","MSP",1494,26,10,0,"",0,17,0,7,0,5
2005,5,6,5,650,650,746,756,"AA",2441,"N5DNAA",56,66,40,-10,0,"LAS","LAX",236,6,10,0,"",0,0,0,0,0,0
2006,2,21,2,929,920,1150,1130,"CO",673,"N73291",261,250,227,20,9,"IAH","OAK",1628,6,28,0,"",0,9,0,11,0,0
2005,6,28,2,906,915,953,1000,"EV",4322,"N903EV",107,105,83,-7,-9,"CVG","XNA",561,3,21,0,"",0,0,0,0,0,0
2006,2,21,2,747,735,850,815,"WN",1166,"N733SW",123,100,91,35,12,"BUF","MDW",468,5,27,0,"",0,0,0,35,0,0
2006,7,16,7,1228,1204,1334,1324,"NW",977,"N620NW",126,140,109,10,24,"PIT","MSP",726,6,11,0,"",0,0,0,0,0,0
2005,11,13,7,1845,1855,2019,2030,"F9",376,"N805FR",154,155,134,-11,-10,"MKE","DEN",895,6,14,0,"",0,0,0,0,0,0
2006,11,9,4,1941,1950,2058,2105,"MQ",4325,"N852AE",137,135,91,-7,-9,"CLT","ORD",599,36,10,0,"",0,0,0,0,0,0
2006,7,1,6,913,914,1022,1030,"YV",7229,"N571ML",129,136,103,-8,-1,"CAE","ORD",666,18,8,0,"",0,0,0,0,0,0
2005,1,6,4,NA,1935,NA,2040,"WN",199,"0",NA,65,NA,NA,NA,"PHL","BDL",196,0,0,1,"C",0,0,0,0,0,0
2006,5,25,4,710,710,805,811,"NW",559,"N325NB",115,121,92,-6,0,"MSP","DEN",680,6,17,0,"",0,0,0,0,0,0
2005,8,15,1,1653,1545,1951,1849,"AA",145,"N3DAAA",358,364,336,62,68,"BOS","LAX",2611,3,19,0,"",0,62,0,0,0,0
2005,7,26,2,1556,1557,1710,1715,"HP",113,"N326AW",74,78,59,-5,-1,"SMF","LAS",397,7,8,0,"",0,0,0,0,0,0
2006,7,8,6,1541,1512,1631,1605,"NW",595,"N535US",110,113,81,26,29,"DTW","MSP",528,8,21,0,"",0,21,0,0,0,5
2005,8,31,3,1137,1142,1215,1228,"MQ",4041,"N657AE",38,46,27,-13,-5,"ORD","DBQ",147,3,8,0,"",0,0,0,0,0,0
2005,5,18,3,732,740,922,950,"FL",192,"N956AT",110,130,102,-28,-8,"PHF","TPA",722,3,5,0,"",0,0,0,0,0,0
2005,3,14,1,1823,1829,2112,2129,"DL",1696,"N334DL",109,120,90,-17,-6,"MCI","ATL",692,9,10,0,"",0,0,0,0,0,0
2005,7,10,7,1544,1550,1732,1751,"MQ",4576,"N727AE",108,121,86,-19,-6,"BOS","RDU",612,2,20,0,"",0,0,0,0,0,0
2006,5,7,7,648,649,805,755,"UA",1123,"N823UA",197,186,177,10,-1,"ATL","DEN",1199,7,13,0,"",0,0,0,0,0,0
2005,10,8,6,1625,1630,1659,1714,"MQ",4252,"N726AE",94,104,75,-15,-5,"TYS","ORD",475,10,9,0,"",0,0,0,0,0,0
2005,4,15,5,1606,1610,1738,1737,"DL",1589,"N117DL",92,87,65,1,-4,"MCO","ATL",403,8,19,0,"",0,0,0,0,0,0
2006,11,20,1,929,930,1242,1240,"AA",2177,"N625AA",193,190,169,2,-1,"LGA","MIA",1097,5,19,0,"",0,0,0,0,0,0
2006,12,16,6,753,755,1008,1010,"WN",1692,"N248",135,135,115,-2,-2,"PIT","MCO",834,5,15,0,"",0,0,0,0,0,0
2006,10,16,1,1735,1740,1827,1840,"MQ",3670,"N822AE",52,60,40,-13,-5,"SJT","DFW",228,3,9,0,"",0,0,0,0,0,0
2005,8,1,1,1808,1812,2134,2139,"XE",2521,"N14916",146,147,124,-5,-4,"STL","EWR",872,8,14,0,"",0,0,0,0,0,0
2006,1,14,6,1924,1926,2128,2127,"UA",147,"N385UA",124,121,107,1,-2,"SEA","SFO",679,6,11,0,"",0,0,0,0,0,0
2005,6,9,4,758,800,1109,1113,"UA",1216,"N523UA",131,133,102,-4,-2,"SNA","DEN",846,9,20,0,"",0,0,0,0,0,0
2006,9,21,4,805,805,1003,1002,"OH",5542,"N491CA",118,117,68,1,0,"LGA","RDU",431,4,46,0,"",0,0,0,0,0,0
2006,7,26,3,1011,1022,1129,1142,"AS",353,"N782AS",78,80,58,-13,-11,"SNA","OAK",371,9,11,0,"",0,0,0,0,0,0
2006,12,13,3,1354,1355,1952,2005,"AA",336,"N4YUAA",238,250,221,-13,-1,"SFO","ORD",1846,9,8,0,"",0,0,0,0,0,0
2006,2,3,5,745,745,1105,1058,"AA",431,"N387AA",380,373,358,7,0,"MIA","SFO",2585,4,18,0,"",0,0,0,0,0,0
2005,3,24,4,1036,1040,1316,1313,"NW",581,"N554NW",220,213,188,3,-4,"MCO","MSP",1310,7,25,0,"",0,0,0,0,0,0
2006,8,11,5,946,915,1050,1035,"FL",303,"N287AT",184,200,162,15,31,"ATL","DEN",1199,6,16,0,"",0,15,0,0,0,0
2005,5,24,2,1445,1440,1604,1554,"XE",2463,"N17115",79,74,46,10,5,"IAH","BRO",308,5,28,0,"",0,0,0,0,0,0
2006,1,16,1,1510,1510,1605,1610,"WN",1593,"N452",55,60,43,-5,0,"BWI","ISP",220,3,9,0,"",0,0,0,0,0,0
2005,6,28,2,842,845,947,952,"MQ",3637,"N847AE",65,67,51,-5,-3,"DFW","XNA",281,2,12,0,"",0,0,0,0,0,0
2005,1,7,5,1625,1630,1741,1718,"AA",1454,"N536AA",76,48,37,23,-5,"AUS","HOU",148,5,34,0,"",0,0,0,23,0,0
2005,1,26,3,1031,1025,1152,1127,"DL",1602,"N603DL",81,62,51,25,6,"SAV","ATL",215,8,22,0,"",0,0,0,25,0,0
2006,7,15,6,925,930,1037,1035,"OO",3683,"N560SW",72,65,51,2,-5,"SUN","SLC",223,15,6,0,"",0,0,0,0,0,0
2006,12,14,4,1233,1235,1454,1455,"WN",136,"N786",81,80,66,-1,-2,"BUR","PHX",369,5,10,0,"",0,0,0,0,0,0
2006,7,24,1,1719,1725,1835,1855,"AA",345,"N583AA",136,150,111,-20,-6,"LGA","ORD",733,12,13,0,"",0,0,0,0,0,0
2006,11,1,3,1351,1351,1459,1450,"OO",6655,"N706SK",128,119,109,9,0,"CID","DEN",692,7,12,0,"",0,0,0,0,0,0
2005,1,31,1,1519,1530,2225,2228,"TZ",626,"N559TZ",306,298,291,-3,-11,"HNL","SFO",2398,6,9,0,"",0,0,0,0,0,0
2005,7,25,1,1420,1405,1655,1650,"WN",925,"N357",95,105,83,5,15,"LAX","SLC",590,7,5,0,"",0,0,0,0,0,0
2005,10,2,7,852,845,1143,1142,"AS",60,"N784AS",111,117,97,1,7,"KTN","SEA",680,6,8,0,"",0,0,0,0,0,0
2006,9,3,7,1212,1143,1344,1330,"XE",3152,"N13123",152,167,139,14,29,"RDU","IAH",1043,6,7,0,"",0,0,0,0,0,0
2006,5,22,1,1809,1815,2039,2112,"AA",1609,"N4UFAA",150,177,135,-33,-6,"ORD","SAT",1041,3,12,0,"",0,0,0,0,0,0
2005,7,29,5,731,730,910,903,"XE",2717,"N14920",99,93,71,7,1,"IAH","PNS",489,5,23,0,"",0,0,0,0,0,0
2006,6,16,5,555,600,648,700,"US",2158,"N762UW",53,60,40,-12,-5,"DCA","LGA",214,4,9,0,"",0,0,0,0,0,0
2006,12,16,6,1706,1707,1758,1805,"OO",6073,"N234SW",52,58,37,-7,-1,"LAX","SAN",109,4,11,0,"",0,0,0,0,0,0
2005,11,22,2,2111,2110,2246,2232,"CO",442,"N17345",95,82,66,14,1,"IAH","TUL",429,12,17,0,"",0,0,0,0,0,0
2006,10,7,6,637,640,1014,1025,"AA",1857,"N5CSAA",217,225,202,-11,-3,"EWR","SJU",1608,4,11,0,"",0,0,0,0,0,0
2005,3,30,3,1510,1500,1550,1550,"WN",799,"N201",40,50,31,0,10,"BWI","ORF",159,2,7,0,"",0,0,0,0,0,0
2005,11,28,1,1143,1120,1244,1229,"OO",6652,"N755SK",121,129,106,15,23,"AUS","DEN",775,6,9,0,"",0,15,0,0,0,0
2005,1,11,2,904,905,944,944,"OO",6129,"N226SW",40,39,25,0,-1,"LAX","SBA",89,3,12,0,"",0,0,0,0,0,0
2006,7,24,1,553,600,707,725,"AA",1729,"N236AA",134,145,121,-18,-7,"LGA","STL",887,3,10,0,"",0,0,0,0,0,0
2006,12,13,3,1107,1105,1212,1220,"AA",1751,"N291AA",125,135,110,-8,2,"RDU","ORD",647,5,10,0,"",0,0,0,0,0,0
2006,6,18,7,1034,1040,1851,1905,"B6",352,"N635JB",317,325,479,-14,-6,"BUR","JFK",2465,5,13,0,"",0,0,0,0,0,0
2006,9,10,7,1801,1745,2038,2032,"AS",511,"N968AS",157,167,138,6,16,"SAN","SEA",1050,8,11,0,"",0,0,0,0,0,0
2005,6,20,1,1747,1723,1857,1851,"AA",1851,"N4WYAA",130,148,106,6,24,"DAY","DFW",861,9,15,0,"",0,0,0,0,0,0
2006,3,16,4,1520,1525,1928,1921,"AS",806,"N713AS",188,176,171,7,-5,"SEA","TUS",1216,4,13,0,"",0,0,0,0,0,0
2006,6,20,2,913,915,1045,1052,"AS",152,"N747AS",92,97,73,-7,-2,"ANC","OME",539,4,15,0,"",0,0,0,0,0,0
2005,11,10,4,1345,1345,1619,1605,"WN",2779,"N667SW",154,140,135,14,0,"MCO","IND",828,6,13,0,"",0,0,0,0,0,0
2005,7,29,5,1824,1740,1,2330,"CO",529,"N59338",217,230,193,31,44,"DEN","EWR",1605,9,15,0,"",0,0,31,0,0,0
2006,8,30,3,1829,1736,1952,1901,"NW",224,"N331NB",83,85,66,51,53,"DTW","DCA",405,7,10,0,"",0,51,0,0,0,0
2006,4,26,3,730,730,825,835,"WN",735,"N723",55,65,45,-10,0,"SAN","LAS",258,2,8,0,"",0,0,0,0,0,0
2006,2,7,2,828,832,1100,1101,"NW",1228,"N915RW",152,149,129,-1,-4,"IND","RSW",946,5,18,0,"",0,0,0,0,0,0
2006,1,3,2,1705,1630,1814,1749,"OH",5473,"N987CA",69,79,55,25,35,"CVG","DTW",229,4,10,0,"",0,0,25,0,0,0
2006,5,4,4,1507,1510,1659,1709,"OO",6907,"N923SW",112,119,90,-10,-3,"ORD","FAR",557,4,18,0,"",0,0,0,0,0,0
2005,5,11,3,2135,1951,2352,2218,"MQ",4234,"N506AE",77,87,60,94,104,"ORD","BUF",473,4,13,0,"",0,17,0,0,0,77
2005,10,23,7,605,605,835,832,"OH",5426,"N933CA",150,147,125,3,0,"JFK","JAX",829,3,22,0,"",0,0,0,0,0,0
2005,3,21,1,1156,1203,1352,1337,"CO",1487,"N37252",176,154,126,15,-7,"MCO","IAH",853,40,10,0,"",0,0,0,15,0,0
2006,6,6,2,1947,1944,2058,2100,"MQ",4574,"N701MH",71,76,56,-2,3,"BWI","BOS",370,4,11,0,"",0,0,0,0,0,0
2005,11,18,5,600,600,726,735,"OH",5145,"N969CA",86,95,63,-9,0,"GSO","JFK",459,11,12,0,"",0,0,0,0,0,0
2006,9,26,2,1018,1024,1347,1339,"OO",3997,"N862AS",149,135,115,8,-6,"SLC","FAR",865,4,30,0,"",0,0,0,0,0,0
2005,11,21,1,828,830,943,936,"DL",1912,"N909DL",75,66,35,7,-2,"LGA","BOS",185,13,27,0,"",0,0,0,0,0,0
2006,4,27,4,2015,2015,2130,2133,"MQ",3363,"N906AE",75,78,63,-3,0,"DFW","LRD",394,3,9,0,"",0,0,0,0,0,0
2006,4,30,7,1941,1946,2132,2133,"FL",915,"N603AT",111,107,84,-1,-5,"PHF","ATL",508,21,6,0,"",0,0,0,0,0,0
2006,9,22,5,716,720,1032,1016,"DL",1114,"N957DL",136,116,108,16,-4,"MCI","ATL",692,13,15,0,"",0,0,0,16,0,0
2006,2,21,2,630,630,805,755,"WN",2841,"N391SW",155,145,140,10,0,"SAT","PHX",843,5,10,0,"",0,0,0,0,0,0
2005,7,2,6,2250,2250,2344,2349,"DL",1823,"N964DL",54,59,34,-5,0,"ATL","SAV",215,6,14,0,"",0,0,0,0,0,0
2005,7,19,2,1415,1415,1708,1642,"US",807,"N619AU",173,147,137,26,0,"TPA","PHL",920,6,30,0,"",0,0,0,26,0,0
2005,3,15,2,557,600,843,855,"AA",969,"N5CNAA",166,175,149,-12,-3,"EWR","MIA",1086,7,10,0,"",0,0,0,0,0,0
2006,12,31,7,2042,2040,2158,2108,"US",35,"N820AW",136,88,61,50,2,"PHX","LAX",370,61,14,0,"",0,0,0,50,0,0
2006,2,11,6,1346,1255,1519,1423,"FL",95,"N996AT",93,88,75,56,51,"RDU","ATL",356,6,12,0,"",0,0,0,5,0,51
2005,4,11,1,1714,1712,1832,1838,"DL",916,"N839MH",78,86,60,-6,2,"ATL","TPA",406,4,14,0,"",0,0,0,0,0,0
2005,5,14,6,950,950,1226,1223,"FL",487,"N943AT",156,153,136,3,0,"BWI","RSW",919,3,17,0,"",0,0,0,0,0,0
2006,4,25,2,2010,1940,2055,2037,"YV",5076,"N930LR",45,57,27,18,30,"CLT","CHS",168,3,15,0,"",0,18,0,0,0,0
2006,8,8,2,1242,1230,1414,1400,"F9",167,"N945FR",152,150,135,14,12,"DEN","SJC",948,6,11,0,"",0,0,0,0,0,0
2005,9,2,5,1811,1821,1904,1917,"NW",1706,"N764NC",53,56,38,-13,-10,"FSD","MSP",197,3,12,0,"",0,0,0,0,0,0
2006,3,9,4,602,600,908,645,"XE",2420,"N14905",186,45,38,143,2,"CLL","IAH",74,10,138,0,"",0,0,0,143,0,0
2005,7,10,7,1711,1715,2250,2255,"AA",1498,"N4WXAA",219,220,204,-5,-4,"SEA","STL",1710,3,12,0,"",0,0,0,0,0,0
2006,9,29,5,1752,1750,2246,2240,"AA",2468,"N628AA",174,170,149,6,2,"LAX","DFW",1235,9,16,0,"",0,0,0,0,0,0
2006,11,19,7,1552,1545,1746,1732,"XE",3227,"N16944",114,107,60,14,7,"PIT","EWR",319,6,48,0,"",0,0,0,0,0,0
2006,1,14,6,1202,1202,1245,1233,"OO",6743,"N935SW",103,91,73,12,0,"FSD","DEN",483,8,22,0,"",0,0,0,0,0,0
2005,5,31,2,NA,2126,NA,2217,"EV",4097,"N633AS",NA,51,NA,NA,NA,"CHA","ATL",106,0,0,1,"C",0,0,0,0,0,0
2005,5,4,3,1625,1525,1752,1652,"MQ",3560,"N922AE",87,87,72,60,60,"JAN","DFW",408,6,9,0,"",0,0,0,0,0,60
2006,1,10,2,2025,2025,2148,2155,"WN",979,"N649SW",83,90,68,-7,0,"SAN","OAK",446,3,12,0,"",0,0,0,0,0,0
2005,8,14,7,NA,1042,NA,1228,"DL",1801,"N911DL",NA,106,NA,NA,NA,"CLE","ATL",554,0,0,1,"A",0,0,0,0,0,0
2005,9,19,1,1223,1225,1514,1508,"TZ",4433,"N325TZ",171,163,155,6,-2,"MCO","SJU",1189,6,10,0,"",0,0,0,0,0,0
2005,4,23,6,1820,1821,1933,1938,"OO",6095,"N251YV",73,77,58,-5,-1,"LAX","MRY",267,3,12,0,"",0,0,0,0,0,0
2005,9,26,1,1830,1830,1845,1845,"WN",2816,"N652SW",75,75,63,0,0,"SLC","LAS",368,2,10,0,"",0,0,0,0,0,0
2005,5,17,2,1650,1650,1849,1845,"WN",2694,"N524",119,115,105,4,0,"MSY","IND",708,7,7,0,"",0,0,0,0,0,0
2006,6,10,6,855,700,1122,939,"OH",5755,"N355CA",147,159,136,103,115,"MIA","CVG",948,3,8,0,"",0,103,0,0,0,0
2005,2,15,2,1927,1915,1950,1933,"NW",235,"N309US",83,78,59,17,12,"DTW","MSN",312,4,20,0,"",0,12,0,5,0,0
2005,6,28,2,1842,1840,2017,2018,"NW",1941,"N8944E",95,98,78,-1,2,"MEM","OMA",538,4,13,0,"",0,0,0,0,0,0
2005,8,25,4,1305,1305,1503,1456,"DL",961,"N998DL",118,111,88,7,0,"DCA","ATL",547,8,22,0,"",0,0,0,0,0,0
2005,1,20,4,722,730,1043,1035,"DL",1095,"N395DN",141,125,90,8,-8,"MKE","ATL",669,5,46,0,"",0,0,0,0,0,0
2005,4,4,1,850,852,914,928,"EV",4475,"N909EV",84,96,68,-14,-2,"ATL","MLU",448,3,13,0,"",0,0,0,0,0,0
2005,9,18,7,855,904,949,1009,"MQ",4170,"N907AE",54,65,35,-20,-9,"IND","ORD",177,8,11,0,"",0,0,0,0,0,0
2006,6,19,1,2303,1935,148,2224,"UA",1146,"N826UA",105,109,85,204,208,"DEN","DFW",641,5,15,0,"",0,0,0,0,0,204
2006,12,6,3,1935,1940,2054,2105,"WN",2577,"N397SW",79,85,68,-11,-5,"SMF","SAN",480,3,8,0,"",0,0,0,0,0,0
2006,9,22,5,1156,1200,1253,1305,"US",2170,"N756UW",57,65,40,-12,-4,"DCA","LGA",214,7,10,0,"",0,0,0,0,0,0
2005,7,6,3,521,530,944,953,"XE",2849,"N25134",143,143,122,-9,-9,"TUS","IAH",936,6,15,0,"",0,0,0,0,0,0
2005,7,7,4,2054,2005,2332,2255,"EV",4566,"N907EV",98,110,82,37,49,"XNA","ATL",589,6,10,0,"",0,0,0,37,0,0
2006,6,23,5,1253,1245,1459,1505,"WN",982,"N383SW",126,140,114,-6,8,"GEG","LAS",806,4,8,0,"",0,0,0,0,0,0
2006,10,13,5,1247,1245,1539,1550,"MQ",4483,"N855AE",112,125,98,-11,2,"ORD","HPN",738,4,10,0,"",0,0,0,0,0,0
2005,3,23,3,1433,1425,1542,1528,"MQ",4618,"N716AE",69,63,35,14,8,"JFK","BOS",187,17,17,0,"",0,0,0,0,0,0
2006,3,6,1,1210,1210,1303,1315,"WN",292,"N460",53,65,42,-12,0,"BWI","BUF",281,3,8,0,"",0,0,0,0,0,0
2005,3,26,6,1305,1225,1432,1355,"WN",970,"N325",87,90,72,37,40,"SAN","OAK",446,4,11,0,"",0,34,0,0,0,3
2006,5,3,3,1750,1750,1857,1905,"WN",1023,"N388SW",67,75,53,-8,0,"BWI","CMH",336,4,10,0,"",0,0,0,0,0,0
2006,11,13,1,NA,1740,NA,1830,"MQ",4096,"0",NA,50,NA,NA,NA,"ORD","MKE",67,0,0,1,"C",0,0,0,0,0,0
2005,11,26,6,1949,1950,2208,2210,"DH",688,"N814BR",139,140,121,-2,-1,"IAD","TPA",810,7,11,0,"",0,0,0,0,0,0
2005,9,7,3,600,600,721,719,"FL",1797,"N965AT",81,79,63,2,0,"RDU","ATL",356,5,13,0,"",0,0,0,0,0,0
2006,5,14,7,1600,1530,1741,1705,"WN",1500,"N304SW",101,95,88,36,30,"ORF","JAX",543,3,10,0,"",0,5,0,6,0,25
2005,2,20,7,1503,1505,1610,1620,"OH",5675,"N924CA",67,75,48,-10,-2,"CVG","ERI",316,4,15,0,"",0,0,0,0,0,0
2006,2,20,1,735,735,824,825,"WN",1636,"N387SW",109,110,101,-1,0,"DAL","ABQ",580,3,5,0,"",0,0,0,0,0,0
2006,3,26,7,1017,1015,1250,1256,"NW",478,"N553NW",153,161,123,-6,2,"DTW","TPA",983,7,23,0,"",0,0,0,0,0,0
2006,3,31,5,1551,1555,1750,1800,"XE",3083,"N24103",179,185,135,-10,-4,"IAH","PHX",1009,14,30,0,"",0,0,0,0,0,0
2005,11,12,6,1940,1945,2150,2219,"FL",577,"N924AT",130,154,111,-29,-5,"EWR","ATL",745,6,13,0,"",0,0,0,0,0,0
2006,7,6,4,1527,1424,1715,1623,"NW",468,"N751NW",108,119,85,52,63,"ATL","DTW",594,10,13,0,"",0,52,0,0,0,0
2006,2,27,1,1825,1825,1935,1935,"WN",183,"N421",70,70,45,0,0,"CLE","BWI",314,5,20,0,"",0,0,0,0,0,0
